time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,lon,lat,land_cover_value,land_cover,geometry
2022-10-04 16:35:35.745879808,434260.2398960149,7774240.922825729,33.639765345392036,0.02715478772298869,33.199830865751146,0.01631750533706841,0.002281764795815128,3,-0.4399344796408897,-0.4670892673638784,-148.72795371077564,70.0666779856268,52.0,Shrub,POINT (-148.72795371077564 70.0666779856268)
2022-10-04 16:35:35.747292160,434258.5853632564,7774231.04749285,33.681616976388725,0.020520353858222224,33.228810405876516,0.015648199465115076,0.0010585586468716828,3,-0.45280657051220885,-0.47332692437043106,-148.7279898174849,70.06658905180038,52.0,Shrub,POINT (-148.7279898174849 70.06658905180038)
2022-10-04 16:35:35.748700928,434256.93054191006,7774221.18590428,33.62712004108679,0.01533328410516065,33.243632880882394,0.014831516681286213,-0.0035834083794160196,3,-0.3834871602043961,-0.39882044430955677,-148.72802594171054,70.06650024108401,52.0,Shrub,POINT (-148.72802594171054 70.06650024108401)
2022-10-04 16:35:35.750110464,434255.27346510335,7774211.310753712,33.6522809172992,0.022941543175028122,33.20119967942885,0.013368736409820337,-0.006167841903228145,3,-0.4510812378703477,-0.4740227810453758,-148.72806211477686,70.0664113082294,52.0,Shrub,POINT (-148.72806211477686 70.0664113082294)
2022-10-04 16:35:35.751517696,434253.61850274715,7774201.449190219,33.674379177036144,0.016248500398862248,33.15604979628008,0.013495044098259745,-0.00017729150271205218,3,-0.5183293807560645,-0.5345778811549268,-148.72809824211595,70.06632249768641,52.0,Shrub,POINT (-148.72809824211595 70.06632249768641)
2022-10-04 16:35:35.752926976,434251.9596396509,7774191.574744331,33.63272062603516,0.01982741988762648,33.19821019835955,0.016359032811224736,0.010173911810867587,3,-0.43451042767561177,-0.45433784756323825,-148.7281344620214,70.06623357067824,52.0,Shrub,POINT (-148.7281344620214 70.06623357067824)
2022-10-04 16:35:35.754330624,434250.3050722986,7774181.7128606485,33.68323217021198,0.013459789138768025,33.25042100763884,0.016021642256860206,0.00045126348004026273,3,-0.4328111625731381,-0.4462709517119061,-148.72817057813583,70.06614475735023,52.0,Shrub,POINT (-148.72817057813583 70.06614475735023)
2022-10-04 16:35:35.755738880,434248.65412838676,7774171.837204411,33.68922090231432,0.01613091819264696,33.248168619996974,0.015111114856505469,0.0008563712447838317,3,-0.4410522823173437,-0.4571832005099907,-148.7282065884999,70.06605582149133,52.0,Shrub,POINT (-148.7282065884999 70.06605582149133)
2022-10-04 16:35:35.757142016,434247.008777055,7774161.973705683,33.732696119434024,0.006965833575801339,33.290538056232556,0.0161720344653773,0.005967845201200628,3,-0.4421580632014681,-0.44912389677726944,-148.72824246070806,70.06596699601509,52.0,Shrub,POINT (-148.72824246070806 70.06596699601509)
2022-10-04 16:35:35.758547712,434245.368397494,7774152.09618986,33.807753658197754,0.02515906034689837,33.30402380993062,0.016136499728024382,-0.002342256027595551,3,-0.5037298482671346,-0.528888908614033,-148.72827819156723,70.06587804615911,52.0,Shrub,POINT (-148.72827819156723 70.06587804615911)
2022-10-04 16:35:35.759952128,434243.7381969757,7774142.2305195695,33.7740226389942,0.0120186372925095,33.29077049601215,0.016082739216871724,0.0016162980710534849,3,-0.483252142982046,-0.4952707802745555,-148.7283136635619,70.0657892050558,52.0,Shrub,POINT (-148.7283136635619 70.0657892050558)
2022-10-04 16:35:35.761356800,434242.1086063428,7774132.351176331,33.76552754510293,0.007626212355664201,33.30601923363739,0.015508763175684637,9.344099459558269e-05,3,-0.45950831146553384,-0.467134523821198,-148.7283491090484,70.06570024154847,52.0,Shrub,POINT (-148.7283491090484 70.06570024154847)
2022-10-04 16:35:35.762760704,434240.49293274153,7774122.483074928,33.83187275370648,0.006675767666630956,33.3430490791745,0.015543809840674836,0.0039131489774454215,3,-0.4888236745319787,-0.4954994421986097,-148.72838419703456,70.06561138233346,72.0,Herbaceous,POINT (-148.72838419703456 70.06561138233346)
2022-10-04 16:35:35.764164096,434238.89480000676,7774112.598790059,33.807495873666895,0.008414788422593515,33.398478942370176,0.017934918392728937,0.002740039913319371,3,-0.4090169312967191,-0.41743171971931264,-148.72841881189703,70.06552238251761,72.0,Herbaceous,POINT (-148.72841881189703 70.06552238251761)
2022-10-04 16:35:35.765565440,434237.3119682927,7774102.725446334,33.87879139722075,0.024491213217082752,33.41446871001278,0.017520114253765397,-0.0004303707510878201,3,-0.4643226872079751,-0.48881390042505785,-148.72845303269062,70.0654334846513,72.0,Herbaceous,POINT (-148.72845303269062 70.0654334846513)
2022-10-04 16:35:35.766969600,434235.7347602077,7774092.837728837,33.82471323256087,0.006068491770501425,33.435903541712506,0.015272574365784686,0.0059255784742650855,3,-0.3888096908483618,-0.39487818261886326,-148.72848709476267,70.06534445937483,31.0,Barren Land,POINT (-148.72848709476267 70.06534445937483)
2022-10-04 16:35:35.768372992,434234.1669561488,7774082.962056699,33.820465999485506,0.01627742281508007,33.46929366789976,0.016230176403899184,0.0007002801731081077,3,-0.3511723315857438,-0.36744975440082384,-148.728520918499,70.06525554444595,31.0,Barren Land,POINT (-148.728520918499 70.06525554444595)
2022-10-04 16:35:35.769776896,434232.60535644676,7774073.071821577,33.96232147234016,0.022794977447011457,33.44651356581922,0.01571970183915051,-0.0061688226813153444,3,-0.5158079065209407,-0.5386028839679521,-148.72855456812258,70.06516650055883,31.0,Barren Land,POINT (-148.72855456812258 70.06516650055883)
2022-10-04 16:35:35.771181568,434231.0516761745,7774063.193799586,33.81832748147902,0.01841519867686785,33.440078385487,0.016224448896074897,0.005084626047064943,3,-0.37824909599201817,-0.39666429466888603,-148.7285880185383,70.06507756814578,11.0,Open Water,POINT (-148.7285880185383 70.06507756814578)
2022-10-04 16:35:35.772590080,434229.4987051931,7774053.301966802,33.91787779818773,0.014655889360977552,33.50815035404444,0.017330382136510256,0.009528939965320725,3,-0.409727444143293,-0.42438333350427054,-148.72862143974828,70.06498851211933,11.0,Open Water,POINT (-148.72862143974828 70.06498851211933)
2022-10-04 16:35:35.773997568,434227.9533460888,7774043.422912534,33.9620719567223,0.017599252848346382,33.54497093997261,0.016392178023778507,-0.0006879972476130009,3,-0.41710101674969025,-0.43470026959803665,-148.72865467025434,70.06489957255643,11.0,Open Water,POINT (-148.72865467025434 70.06489957255643)
2022-10-04 16:35:35.776817920,434224.8731156589,7774023.649141667,33.8978182145802,0.014655251603375784,33.5258900054783,0.01585844497248418,0.006456993886651416,3,-0.3719282091018954,-0.38658346070527116,-148.7287208432681,70.06472155569526,11.0,Open Water,POINT (-148.7287208432681 70.06472155569526)
2022-10-04 16:35:35.778232064,434223.33336476464,7774013.755482003,33.918498889227195,0.026661170882700515,33.562202921505175,0.01530675207185133,0.003865939951277333,3,-0.3562959677220192,-0.38295713860471975,-148.72875391473787,70.06463248662952,31.0,Barren Land,POINT (-148.72875391473787 70.06463248662952)
2022-10-04 16:35:35.779646208,434221.79646867164,7774003.874688524,33.99818395646694,0.026636330138296575,33.59227412211334,0.015405571258847336,0.005766144020304946,3,-0.40590983435360073,-0.4325461644918973,-148.72878692053033,70.06454353360363,31.0,Barren Land,POINT (-148.72878692053033 70.06454353360363)
2022-10-04 16:35:35.781062400,434220.2561477045,7773993.981013467,34.05392081972458,0.008768648323614644,33.65083760804807,0.01613069765974998,0.004202956333196463,3,-0.40308321167650973,-0.41185186000012436,-148.72882000640476,70.06445446424172,31.0,Barren Land,POINT (-148.72882000640476 70.06445446424172)
2022-10-04 16:35:35.782477568,434218.71733504016,7773984.10064003,34.040448514279205,0.02150862075191455,33.68833851713441,0.014767188929081599,0.0013128766411407305,3,-0.35210999714479385,-0.3736186178967084,-148.72885306229543,70.06436551448004,31.0,Barren Land,POINT (-148.72885306229543 70.06436551448004)
2022-10-04 16:35:35.783901696,434217.17631379503,7773974.2071752185,34.033118823636386,0.015443843173726442,33.680002554363575,0.014763240334637304,-0.0007069450802020508,3,-0.35311626927281026,-0.3685601124465367,-148.72888616616225,70.06427644681125,31.0,Barren Land,POINT (-148.72888616616225 70.06427644681125)
2022-10-04 16:35:35.785325312,434215.6346222379,7773964.327277761,34.040923698108315,0.01886344273825841,33.67370295354994,0.0162785418060969,0.0020058507177043187,3,-0.3672207445583737,-0.38608418729663213,-148.72891929746862,70.06418750057038,31.0,Barren Land,POINT (-148.72891929746862 70.06418750057038)
2022-10-04 16:35:35.786752000,434214.08593804843,7773954.434996041,34.04054320414629,0.010922482077280828,33.70235174285121,0.017283165337371082,0.0052043881673684836,3,-0.33819146129508226,-0.34911394337236307,-148.72895260293691,70.06409844154345,31.0,Barren Land,POINT (-148.72895260293691 70.06409844154345)
2022-10-04 16:35:35.788177920,434212.5340023443,7773944.556756271,34.07392600927916,0.0263819430855944,33.74021019818673,0.015906616404724586,0.004821293922300771,3,-0.3337158110924321,-0.3600977541780265,-148.72898600399577,70.06400950754171,31.0,Barren Land,POINT (-148.72898600399577 70.06400950754171)
2022-10-04 16:35:35.789604608,434210.97623459034,7773934.665807017,34.083048873336544,0.033913888097154385,33.74314825792511,0.017587381265273094,-0.0007731587423474196,3,-0.33990061541143746,-0.37381450350859186,-148.7290195484859,70.06392045813398,31.0,Barren Land,POINT (-148.7290195484859 70.06392045813398)
2022-10-04 16:35:35.791030784,434209.4154383514,7773924.788952087,34.10117290186357,0.024640655621851956,33.72315248496259,0.018394620760803188,-0.0012615388969252881,3,-0.37802041690098065,-0.4026610725228326,-148.72905318274502,70.06383153427744,31.0,Barren Land,POINT (-148.72905318274502 70.06383153427744)
