time,x,y,lidar_height,lidar_snow_depth,is2_height,h_sigma,is2_slope,beam,residual,snow_depth_residual,land_cover_value,land_cover
2022-12-05 00:54:30.692823808,434860.68761743966,7767065.641986207,44.11802483643751,0.016824100993220716,44.31332645940903,0.00991157921484364,-0.002559815464249593,1,0.19530162297152032,0.1784775219782996,51.0,Shrub
2022-12-05 00:54:30.694228480,434859.75250442827,7767075.60834442,44.106030828044666,0.03629947687807492,44.29882687457199,0.010074913536807065,0.0007543047875217505,1,0.1927960465273273,0.15649656964925238,51.0,Shrub
2022-12-05 00:54:30.695628544,434858.8236207916,7767085.560992252,44.1067377018569,0.0262072472651037,44.3052757035512,0.00977567607755285,0.0016188501479897008,1,0.19853800169430258,0.17233075442919887,51.0,Shrub
2022-12-05 00:54:30.699828992,434856.07169379067,7767115.4508224595,44.05746516849014,0.006290813206544398,44.25954176713669,0.010794502122160576,-0.0029456232921071,1,0.20207659864654914,0.19578578544000474,51.0,Shrub
2022-12-05 00:54:30.701225216,434855.170491274,7767125.406089068,44.067524420052024,0.025208049556674685,44.26804347176035,0.009483646479563469,0.002942837374105847,1,0.2005190517083264,0.1753110021516517,51.0,Shrub
2022-12-05 00:54:30.702622464,434854.26985351957,7767135.375749953,44.09534916255187,0.021527737133894078,44.288912150027826,0.008945643288297092,-0.0017602098761481495,1,0.19356298747595702,0.17203525034206293,51.0,Shrub
2022-12-05 00:54:30.705419264,434852.4723054338,7767155.301065518,44.0788030602959,0.054073187735250335,44.265346449599896,0.010193612724432822,-0.006060263747051271,1,0.18654338930399916,0.13247020156874884,51.0,Shrub
2022-12-05 00:54:30.711013376,434848.8591927722,7767195.149972397,44.037232425095084,0.03920484279478,44.2415430883505,0.008963533022969046,0.0021117803157359176,1,0.2043106632554128,0.1651058204606328,51.0,Shrub
2022-12-05 00:54:30.712415488,434847.9481450455,7767205.104310066,44.02932602327253,0.030139363283358343,44.233045139021,0.008855821798288139,-0.0050621648991609714,1,0.2037191157484699,0.17357975246511156,51.0,Shrub
2022-12-05 00:54:30.715219712,434846.11037171935,7767225.025789139,43.99356299308185,0.042475660164889746,44.191337824844936,0.010065198719616295,0.000378045661434284,1,0.19777483176308408,0.15529917159819434,51.0,Shrub
2022-12-05 00:54:30.720846848,434842.3434721298,7767264.86008305,43.90836210353454,0.06079960310029731,44.1136205042552,0.009714124031516265,-0.0024918748936785294,1,0.20525840072065904,0.14445879762036173,51.0,Shrub
2022-12-05 00:54:30.722259968,434841.37821294315,7767274.823577214,43.9148366557078,0.0388728498577812,44.10795874550663,0.009628502533987145,0.0007959931079936403,1,0.19312208979882683,0.15424923994104564,51.0,Shrub
2022-12-05 00:54:30.723673088,434840.4104055094,7767284.772531458,43.891327653891395,0.02853849766508473,44.0891364525029,0.009552060471977951,-0.006249770570431138,1,0.19780879861150424,0.1692703009464195,51.0,Shrub
2022-12-05 00:54:30.726500608,434838.465336094,7767304.683823297,43.81757939352073,0.0095614804208695,44.01478406266478,0.010633260485940354,-0.0011818870502652047,1,0.19720466914404966,0.18764318872318017,51.0,Shrub
2022-12-05 00:54:30.727914496,434837.48913261556,7767314.646302193,43.836078239167406,0.0167789131588042,44.01047704501941,0.010957992467038428,0.0014431269549925576,1,0.1743988058520003,0.1576198926931961,51.0,Shrub
2022-12-05 00:54:30.729328896,434836.51337772905,7767324.594469886,43.82658910148329,0.025706765532451572,44.02065542862569,0.010629939402529313,0.001620129700922823,1,0.19406632714239436,0.16835956160994278,51.0,Shrub
2022-12-05 00:54:30.732158464,434834.5609813977,7767344.505052627,43.84314203026143,0.05329125392211765,44.024523847072004,0.010276070487224518,0.0021897668847580074,1,0.1813818168105712,0.12809056288845355,51.0,Shrub
2022-12-05 00:54:30.733575936,434833.58555942506,7767354.467562865,43.82689956601888,0.050460757729836214,44.01379612273861,0.010070266096559751,-0.0027339639352336504,1,0.1868965567197307,0.1364357989898945,51.0,Shrub
2022-12-05 00:54:30.736406016,434831.638288075,7767374.378659042,43.76341535622841,0.052135306138835644,43.9689206565942,0.01046052761127555,-0.0033712932938303177,1,0.20550530036579318,0.15336999422695752,51.0,Shrub
2022-12-05 00:54:30.739235328,434829.7129849398,7767394.291799114,43.74686952954427,0.04613588841164191,43.94941914856687,0.009654225126504946,-0.0024988906749147596,1,0.20254961902259794,0.15641373061095604,51.0,Shrub
2022-12-05 00:54:30.744879104,434825.92801538255,7767434.124410359,43.66401321401926,0.04910874734676708,43.86279808547469,0.01023036863202958,-0.004799962104228575,1,0.19878487145542323,0.14967612410865616,51.0,Shrub
2022-12-05 00:54:30.746288384,434824.9830690641,7767444.075523384,43.653977865791916,0.03542462643050078,43.842328641446514,0.010163971196957595,-0.0004090125395647842,1,0.18835077565459812,0.15292614922409734,51.0,Shrub
2022-12-05 00:54:30.747698176,434824.0357599052,7767454.040709179,43.632489525856485,0.046516037834658894,43.82884756823304,0.009802213974721306,-0.005131360491557398,1,0.19635804237655208,0.14984200454189317,51.0,Shrub
2022-12-05 00:54:30.749106688,434823.0884246363,7767463.991625605,43.61851174241622,0.03591570277731288,43.799380042675914,0.009970921634887027,-0.0013646160754734087,1,0.18086830025969647,0.1449525974823836,51.0,Shrub
2022-12-05 00:54:30.751924224,434821.18586032744,7767483.906955268,43.571131073246775,0.03563260232996525,43.76511653894548,0.009661518697914675,-0.0013646563459409418,1,0.19398546569870234,0.1583528633687371,51.0,Shrub
2022-12-05 00:54:30.753334784,434820.2296963815,7767493.8713226775,43.56644103940741,0.05010755766774999,43.75969927133001,0.009331127936898175,0.00039322436746310515,1,0.1932582319225986,0.14315067425484862,51.0,Shrub
2022-12-05 00:54:30.756148736,434818.31110024557,7767513.785059932,43.53379331311611,0.03501894843612794,43.73052576518423,0.010428934336190928,-0.0018916226057019534,1,0.19673245206812595,0.16171350363199802,51.0,Shrub
2022-12-05 00:54:30.758963712,434816.37320361484,7767533.6970775435,43.50762141774214,0.044948625978456724,43.708199343655124,0.009833357825221769,-0.0034851819849350957,1,0.20057792591298096,0.15562929993452423,51.0,Shrub
2022-12-05 00:54:30.760369920,434815.38863845187,7767543.644432793,43.5193541453459,0.04956916766654478,43.696810471926796,0.009958754279454682,0.0002436200175270528,1,0.17745632658089505,0.12788715891435026,51.0,Shrub
2022-12-05 00:54:30.765999104,434811.4338591505,7767583.460864002,43.42378622486616,0.049251598029891104,43.61955581384603,0.009913025500556762,-0.005897496476261407,1,0.1957695889798643,0.1465179909499732,51.0,Shrub
2022-12-05 00:54:30.771617280,434807.4933020368,7767623.278673719,43.38588581179822,0.03055640988316981,43.57528199024339,0.009983611304626903,0.0014546359859864521,1,0.18939617844517187,0.15883976856200205,52.0,Shrub
2022-12-05 00:54:30.773022464,434806.51510600664,7767633.240941533,43.38853333130717,0.043840710558608754,43.56418935964691,0.009319027473705638,-0.0033542316888745846,1,0.1756560283397377,0.13181531778112895,52.0,Shrub
2022-12-05 00:54:30.774424064,434805.5422756829,7767643.189395861,43.38458703880461,0.05227946993167377,43.557513677051396,0.008354778060031945,-0.00020497730237355627,1,0.17292663824678556,0.1206471683151118,52.0,Shrub
2022-12-05 00:54:30.778631424,434802.649963016,7767673.0658565415,43.32220827161025,0.03736417941633134,43.52440936984467,0.009405041523780541,-0.0008789743389207513,1,0.20220109823441845,0.1648369188180871,51.0,Shrub
2022-12-05 00:54:30.780029184,434801.7048181277,7767683.016977131,43.308012535709594,0.041292722613096654,43.49731479550117,0.009227425985927337,-0.002801420913610214,1,0.18930225979157456,0.1480095371784779,51.0,Shrub
